"nrx-1","mir-1","unc-49","nlg-1","unc-25","unc-97","lim-6","lat-2","ptp-3","sup-17","pkd-2"
"folder_2016-8-31_file_541 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 3_1-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 3_2-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 3_3-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 3_4-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 3_5-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 3_6-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 5_1-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 5_2-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 5_3-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 5_4-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 5_5-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-8-31_file_541 nlg-1 day 5_6-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-12_file_525 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_525 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_525 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_525 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_525 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_525 nrx-1 day 3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_525 nrx-1 day 3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_525 nrx-1 day 3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_525 nrx-1 day 3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_525 nrx-1 day 3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_525 nrx-1 nlg-1 day 3_1-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-25 day 3_1-exported_dist.txt",0,0,0,0,1,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-25 day 3_2-exported_dist.txt",0,0,0,0,1,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-25 day 3_3-exported_dist.txt",0,0,0,0,1,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-25 day 3_4-exported_dist.txt",0,0,0,0,1,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-25 day 3_5-exported_dist.txt",0,0,0,0,1,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-25 day 3_6-exported_dist.txt",0,0,0,0,1,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-49 day 3_1-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-49 day 3_2-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-49 day 3_3-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-49 day 3_4-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-49 day 3_5-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-49 day 3_6-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-49 day 3_7-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-12_file_541 unc-49 day 3_8-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_525 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_525 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_525 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_525 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_525 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_525 day 3_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx  day3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx  day3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx  day3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx  day3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx  day3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx  day3_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx  day3_7-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx  day3_8-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx nlg day3_1-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx nlg day3_2-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx nlg day3_3-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx nlg day3_4-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx nlg day3_5-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx nlg day3_6-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx nlg day3_7-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-23_file_nrx nlg day3_8-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-2_file_525 day 5_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-2_file_525 day 5_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-2_file_525 day 5_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-2_file_525 day 5_7-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-2_file_525 nrx-1 day 5_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-2_file_525 nrx-1 day 5_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-2_file_525 nrx-1 day 5_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-2_file_525 nrx-1 day 5_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-2_file_525 nrx-1 day 5_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-2_file_525 nrx-1 day 5_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 nrx-1 day 3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 nrx-1 day 3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 nrx-1 day 3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 nrx-1 day 3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 nrx-1 day 3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 nrx-1 day 3_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 nrx-1 day 3_7-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 nrx-1nlg1 day 3_1-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 nrx-1nlg1 day 3_2-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 nrx-1nlg1 day 3_3-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-30_file_525 nrx-1nlg1 day 3_4-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-8_file_541 day1_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-8_file_541 day1_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-8_file_541 day1_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-8_file_541 day1_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-8_file_541 day2_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-8_file_541 day2_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-8_file_541 day2_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-8_file_541 day2_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-8_file_541 day2_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_525 day 1_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_525 day 1_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_525 day 1_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_525 day 1_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_525 day 1_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_525 day 1_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_525 nlg1 nrx-1 day 3_1-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-9_file_525 nlg1 nrx-1 day 3_2-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-9_file_525 nlg1 nrx-1 day 3_3-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-9_file_525 nlg1 nrx-1 day 3_4-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 unc-49 day 3-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 unc-49 day 3_1-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 unc-49 day 3_10-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 unc-49 day 3_2-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 unc-49 day 3_4-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 unc-49 day 3_5-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 unc-49 day 3_6-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 unc-49 day 3_7-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 unc-49 day 3_8-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-9-9_file_541 unc-49 day 3_9-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 day 3_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 day 3_7-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 nlg1 mir1 day 3_1-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 nlg1 mir1 day 3_2-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 nlg1 mir1 day 3_3-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 nlg1 mir1 day 3_4-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 nlg1 mir1 day 3_5-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 nlg1 mir1 day 3_6-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-13_file_541 nlg1 mir1 day 3_7-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-13_file_nlg-1 541 day 3_1-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-13_file_nlg-1 541 day 3_2-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-13_file_nlg-1 541 day 3_3-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 mir-1 nrx1 day 3_1-exported_dist.txt",1,1,0,0,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 mir-1 nrx1 day 3_2-exported_dist.txt",1,1,0,0,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 mir-1 nrx1 day 3_3-exported_dist.txt",1,1,0,0,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 mir-1 nrx1 day 3_4-exported_dist.txt",1,1,0,0,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 mir-1 nrx1 day 3_5-exported_dist.txt",1,1,0,0,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 mir-1 nrx1 day 3_6-exported_dist.txt",1,1,0,0,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 nlg1 nrx1 day 3_1-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 nlg1 nrx1 day 3_2-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 nlg1 nrx1 day 3_3-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 nlg1 nrx1 day 3_4-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 nlg1 nrx1 day 3_5-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 nlg1 nrx1 day 3_6-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-17_file_525 nlg1 nrx1 day 3_7-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-17_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-17_file_541 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-17_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-17_file_541 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-19_file_525 nlg1 nrx1 day 3_1-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-19_file_525 nlg1 nrx1 day 3_2-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-19_file_525 nlg1 nrx1 day 3_3-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-19_file_525 nlg1 nrx1 day 3_4-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-19_file_525 nlg1 nrx1 day 3_5-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-19_file_525 nlg1 nrx1 day 3_7-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-19_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-19_file_541 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-19_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-19_file_541 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-19_file_541 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-19_file_541 day 3_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-23_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-23_file_541 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-23_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-23_file_541 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-23_file_nlg1 nrx-1 525 day 3_1-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-23_file_nlg1 nrx-1 525 day 3_10-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-23_file_nlg1 nrx-1 525 day 3_2-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-23_file_nlg1 nrx-1 525 day 3_3-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-23_file_nlg1 nrx-1 525 day 3_4-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-23_file_nlg1 nrx-1 525 day 3_5-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-23_file_nlg1 nrx-1 525 day 3_6-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-23_file_nlg1 nrx-1 525 day 3_7-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-23_file_nlg1 nrx-1 525 day 3_8-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-23_file_nlg1 nrx-1 525 day 3_9-exported_dist.txt",1,0,0,1,0,0,0,0,0,0,0
"folder_2017-1-23_file_unc-49 541 day 3_1-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2017-1-23_file_unc-49 541 day 3_2-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2017-1-23_file_unc-49 541 day 3_3-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2017-1-23_file_unc-49 541 day 3_4-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2017-1-23_file_unc-49 541 day 3_5-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2017-1-23_file_unc-49 541 day 3_6-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2017-1-23_file_unc-49 541 day 3_7-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2017-1-25_file_unc-97 day 2_1-exported_dist.txt",0,0,0,0,0,1,0,0,0,0,0
"folder_2017-1-25_file_unc-97 day 2_2-exported_dist.txt",0,0,0,0,0,1,0,0,0,0,0
"folder_2017-1-25_file_unc-97 day 2_3-exported_dist.txt",0,0,0,0,0,1,0,0,0,0,0
"folder_2017-1-25_file_unc-97 day 2_4-exported_dist.txt",0,0,0,0,0,1,0,0,0,0,0
"folder_2017-1-25_file_unc-97 day 2_5-exported_dist.txt",0,0,0,0,0,1,0,0,0,0,0
"folder_2017-1-25_file_unc-97 day 2_6-exported_dist.txt",0,0,0,0,0,1,0,0,0,0,0
"folder_2017-1-25_file_unc-97 day 2_7-exported_dist.txt",0,0,0,0,0,1,0,0,0,0,0
"folder_2017-1-25_file_unc-97 day 2_8-exported_dist.txt",0,0,0,0,0,1,0,0,0,0,0
"folder_2017-1-25_file_unc-97 day 2_9-exported_dist.txt",0,0,0,0,0,1,0,0,0,0,0
"folder_2017-1-2_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-2_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-2_file_541 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-2_file_541 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-2_file_541 day 3_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-1-2_file_541 mir1 nlg-1 day 3_1-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-2_file_541 mir1 nlg-1 day 3_3-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-2_file_541 mir1 nlg-1 day 3_4-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-2_file_541 mir1 nlg-1 day 3_5-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-2_file_541 mir1 nlg-1 day 3_6-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-1-2_file_541 mir1 nlg-1 day 3_7-exported_dist.txt",0,1,0,1,0,0,0,0,0,0,0
"folder_2017-3-12_file_525 day3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-12_file_525 day3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-12_file_525 day3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-12_file_525 day3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-12_file_525 day3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-12_file_525 day3_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-12_file_525 day3_7-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-12_file_525 nrx1 day3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-12_file_525 nrx1 day3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-15_file_541 day1_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-15_file_541 day1_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-15_file_541 day1_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-15_file_541 day1_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-15_file_541 day3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-15_file_541 day3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-15_file_541 day3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-15_file_541 day3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-15_file_541 lim-6 day3_-exported_dist.txt",0,0,0,0,0,0,1,0,0,0,0
"folder_2017-3-15_file_541 lim-6 day3_1-exported_dist.txt",0,0,0,0,0,0,1,0,0,0,0
"folder_2017-3-15_file_541 lim-6 day3_2-exported_dist.txt",0,0,0,0,0,0,1,0,0,0,0
"folder_2017-3-15_file_541 lim-6 day3_3-exported_dist.txt",0,0,0,0,0,0,1,0,0,0,0
"folder_2017-3-15_file_541 lim-6 day3_4-exported_dist.txt",0,0,0,0,0,0,1,0,0,0,0
"folder_2017-3-15_file_541 lim-6 day3_5-exported_dist.txt",0,0,0,0,0,0,1,0,0,0,0
"folder_2017-3-15_file_541 lim-6 day3_6-exported_dist.txt",0,0,0,0,0,0,1,0,0,0,0
"folder_2017-3-15_file_541 lim-6 day3_7-exported_dist.txt",0,0,0,0,0,0,1,0,0,0,0
"folder_2017-3-15_file_541 lim-6 day3_8-exported_dist.txt",0,0,0,0,0,0,1,0,0,0,0
"folder_2017-3-22_file_525 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 day5_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 day5_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 day5_3 crazy-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 day5_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 day5_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 day5_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 nrx-1 wy day5_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2017-3-22_file_525 nrx-1 wy day5_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
