\,SWC Type,Assigned value,Average branch length,Average contraction,Average fragmentation,Average remote bif. angle,Average partition asymmetry,Average fractal dimension,Average spine/varicosity density,Depth,Height,Highest path order,Cable length,Mean radius,No. of branch points,No. of branches,No. of fitted paths,No. of nodes,No. of paths,No. of primary branches,No. of inner branches,No of spines/varicosities,No. of terminal branches,No. of tips,Length of primary branches (sum),Length of inner branches (sum),Length of terminal branches (sum),Horton-Strahler number,Horton-Strahler bifurcation ratio,Width,Sholl: Centroid,Sholl: Centroid radius,Sholl: Decay,Sholl: Enclosing radius,Sholl: Intercept,Sholl: Kurtosis,Sholl: Max,Sholl: Max (fitted),Sholl: Max (fitted) radius,Sholl: Mean,Sholl: Median,Sholl: No. maxima,Sholl: No. secondary maxima,Sholl: Degree of Polynomial fit,Sholl: Skeweness,Sholl: Sum,Sholl: Variance
Ndnf-IRES2-dgCre_Ai14-255259.03.02.01_560631771_m,Undefined,0.0,43.99766781857607,0.8677517073718696,37.30061349693251,86.82078529938123,0.5056869037128047,1.0360602966095345,0.0,160.72,429.7246,23,14343.239708855805,0.06407493470393479,161,326,0,11835,166,5,13,0,166,166,78.77756907534297,312.9562910365886,9638.31305604914,5,1.9399705686470394,537.2281,22.763473053892216,204.09443337923088,0.034077787141944225,408.18886675846176,-7.444391061820193,-0.7833536498300973,82.0,76.19555525486676,56.386450062730454,22.763473053892262,8.0,1,0,20,0.8332825333926411,7603.0,634.4093524662388
Ndnf-IRES2-dgCre_Ai14-255261.05.02.01_556384323_m,Undefined,0.0,26.80143278510269,0.8837933988154318,22.436305732484076,86.19357488461631,0.5719616025925259,1.034983941644439,0.0,146.6876,361.748,12,8415.64989452225,0.0622283441946786,153,314,0,6732,162,10,10,0,162,162,272.63074536998846,205.91562266828512,4737.461106107851,5,2.1003565583352817,486.23539999999997,17.6,162.27650226869224,0.038788470935201894,324.5530045373844,-7.275587804166449,0.4670731577608662,70.0,64.03825045182548,39.610799766373695,17.600000000000048,10.0,1,0,20,1.2535983262539454,4488.0,324.98110236220384
Ndnf-IRES2-dgCre_Ai14-256187.05.02.01_562185962_m,Undefined,0.0,28.259451472701294,0.8925052703248222,24.277227722772277,82.19743129945913,0.5245145955091362,1.0317673281788526,0.0,111.9631,133.6823,13,5708.409197485659,0.06483828639007896,98,202,0,4703,105,7,4,0,105,105,168.5064241560129,69.45174397034059,3719.281172673295,5,2.4751996637242537,451.93950000000007,15.621052631578948,116.17008671683708,0.04878262141240723,232.3401734336742,-6.803387679218286,-0.5023458633342077,48.0,42.55237393859269,38.10870569547038,15.621052631578916,13.0,1,0,20,0.7101711394616571,2968.0,153.4006126427176
Ndnf-IRES2-dgCre_Ai14-262467.04.01.01_643517708_m,Undefined,0.0,38.167674156287475,0.8933915969523831,34.28846153846154,73.19214344667381,0.5325506622220296,1.0329815800946032,0.0,117.2441,451.4498,13,15877.752449015585,0.06339657224765823,206,416,0,13849,211,6,3,0,211,211,142.10698428043156,86.02300818962388,9844.904048520757,6,2.9313093501863556,467.65900000000005,30.091872791519435,162.56737211048323,0.03756482162691139,325.13474422096647,-6.945560063104628,-1.320330910101176,79.0,70.62874888419343,79.5542459264067,30.091872791519418,24.0,1,0,20,0.25782542483853277,8516.0,569.5518131468812
Ndnf-IRES2-dgCre_Ai14-262472.03.02.01_657248124_m,Undefined,0.0,37.74209479280707,0.8514495219212072,31.18877551020408,86.861510264328,0.5278944207043031,1.0434164514855246,0.0,94.92,513.7067999999999,20,14794.90115878035,0.07087268056885941,193,392,0,11835,200,8,5,0,200,200,245.4091396322998,108.3378453815722,9825.742616127609,5,3.1428455231650183,393.7007,28.200757575757574,167.09547851183606,0.037966372680174505,334.1909570236721,-6.8573121921435805,-0.3016706365390114,94.0,85.85745911889276,50.82752198078664,28.200757575757617,19.0,1,0,20,0.9614879419443596,7445.0,735.1876800322614
Ndnf-IRES2-dgCre_Ai14-278511.05.01.01_614431110_m,Undefined,0.0,51.90341129099451,0.8940705406389053,44.771126760563384,90.13183894362179,0.5804852165055033,1.0297630723610685,0.0,150.6151,746.2529000000001,17,14740.56880664245,0.07389136094085423,140,284,0,12432,145,6,2,0,145,145,194.18427367300666,70.66505661483703,9084.569341128894,5,4.633434704830053,357.8212,25.128205128205128,209.1486451262856,0.028349586953124215,418.2972902525712,-7.878209523212311,-0.08306080145354588,83.0,73.38975121885231,78.87891759048486,25.128205128205163,20.0,1,0,20,0.833317380703099,8820.0,405.87208791208843
Ndnf-IRES2-dgCre_Ai14-292670.04.02.01_591275762_m,Undefined,0.0,46.98428364968516,0.8876480187728594,41.01276595744681,73.49517810526153,0.5290903206536463,1.0338754600807512,0.0,132.3938,781.4964000000001,13,22082.613315352017,0.07251312941232253,231,470,0,18807,240,8,1,0,240,240,307.0269450829747,48.35941419614374,13841.820369895315,6,3.395107290790744,400.13930000000005,37.716981132075475,218.22466835420244,0.025872304845709793,436.4493367084047,-7.806667371177684,-0.9345189060481691,86.0,80.79942087538772,145.0899146354967,37.71698113207546,32.0,1,0,20,0.26328045508721704,13993.0,581.9494135645076
Ndnf-IRES2-dgCre_Ai14-292673.04.02.01_658102910_m,Undefined,0.0,41.60492664936591,0.8356560597719286,36.425339366515836,87.55479076298009,0.4876511611681498,1.0510741388765252,0.0,102.7541,388.5934,14,18389.377579019732,0.05838386051637461,219,442,0,15659,224,6,5,0,224,224,129.24303296895474,57.82984160129372,11758.475494620468,6,2.2639850212385424,547.1055,37.91449814126394,158.6168385064383,0.03697469957665671,317.2336770128765,-6.71804744079237,-1.4088287951948324,94.0,84.20611531356842,78.12471150317107,37.91449814126404,37.0,1,0,20,0.19761543579933186,10199.0,801.7277367807797
Ndnf-IRES2-dgCre_Ai14-292673.05.01.01_596793018_m,Undefined,0.0,39.05925638282477,0.8947516230539004,34.02256944444444,77.89544598546792,0.5254282575535087,1.0306952448080922,0.0,96.32,598.0536,15,22498.131676507066,0.05882936827745914,285,576,0,19022,292,6,2,0,292,292,187.91929779341865,52.0644249049555,14183.602888461184,6,2.902642373556352,783.7281999999999,30.751231527093594,241.70163558308667,0.02641156514186236,483.4032711661734,-7.865551432075726,-1.6244205596492027,72.0,64.29212433573825,142.03701054018427,30.751231527093548,30.0,1,0,20,0.09927316511802879,12485.0,597.4811713191011
Ndnf-IRES2-dgCre_Ai14-306261.05.02.01_591276334_m,Undefined,0.0,46.33538811579273,0.881936985007681,39.84146341463415,88.03953730208633,0.4961367116308615,1.0323012282470745,0.0,139.7189,729.3515,13,18997.509127475067,0.072219080574506,204,410,0,15926,207,4,3,0,207,207,77.79011014621085,72.1421932763934,11706.153807538021,6,2.676037296037296,585.2895,26.811557788944725,239.36174986081994,0.025840330786192144,478.72349972163994,-8.121309168430434,0.610018759780055,104.0,97.9616202499473,78.38042186878235,26.811557788944665,16.0,1,0,20,1.2775561076432582,10671.0,763.8712010936272
